mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
3361,C18H21O7Cl,HCOCl,18,21,7,0,1,384.0975807,383.09030423312,3,5.7,0.526315789473684,3,0,0,0,0.45953542785719,0.365696139665802,0.35881969332695,1.51464089751244,1.62002250785008,0.934950527028482,0.276769822340585
3365,C19H25O6Cl,HCOCl,19,25,6,0,1,384.1339662,383.12668973312,3,5.7,0.526315789473684,3,0,0,0,0.507402932271361,0.36502992822551,0.348317623138428,1.52545659244061,1.63510226667859,0.932942619876183,0.275454610746483
3369,C20H29O5Cl,HCOCl,20,29,5,0,1,384.1703517,383.16307523312,3,5.8,0.517241379310345,3,0,0,0,0.229851975105703,0.166643655969038,0.151409402489662,1.5362723916769,1.65033654402941,0.930884307952113,0.472488652689849
3419,C18H23O7Cl,HCOCl,18,23,7,0,1,386.1132308,385.10595433312,3,5.7,0.526315789473684,3,0,0,0,0.160553016234189,0.110214966353708,0.090725839138031,1.51464089751244,1.6202525338158,0.934817792844525,0.317502642336409
3424,C19H27O6Cl,HCOCl,19,27,6,0,1,386.1496163,385.14233983312,4,5.7,0.701754385964912,4,0,0,0,0.197234680876136,0.128233727290172,0.116814360022545,1.59120754152536,1.63909208762925,0.9707859329776,0.246086701376339
3428,C20H31O5Cl,HCOCl,20,31,5,0,1,386.1860018,385.17872533312,3,5.8,0.517241379310345,3,0,0,0,0.290221407078207,0.169867305092433,0.13080108165741,1.5362723916769,1.65056657092646,0.930754577693039,0.304494147843488
3466,C17H21O8Cl,HCOCl,17,21,8,0,1,388.0924953,387.08521883312,3,5.6,0.535714285714286,3,0,0,0,0.136960813309997,0.0801725865693909,0.0588297992944717,1.50382518768311,1.60572698968463,0.936538525754285,0.204384945865803
3472,C18H25O7Cl,HCOCl,18,25,7,0,1,388.1288808,387.12160433312,4,5.7,0.701754385964912,4,0,0,0,0.0494101499207318,0.0277949534509875,0.0201369896531105,1.57693126797676,1.6243154918775,0.97082818938951,0.0713489305044416
3477,C19H29O6Cl,HCOCl,19,29,6,0,1,388.1652663,387.15798983312,3,5.8,0.517241379310345,3,0,0,0,0.171616306528449,0.0964925747083005,0.0657509490847588,1.52545659244061,1.63556231861003,0.932680201227065,0.302530394240756
3480,C20H33O5Cl,HCOCl,20,33,5,0,1,388.2016518,387.19437533312,2,5.8,0.344827586206897,2,0,0,0,0.319959565065801,0.228865255735414,0.216314598917961,1.31995779275894,1.64509653300047,0.802358868480191,0.221163818381388
3526,C17H23O8Cl,HCOCl,17,23,8,0,1,390.1081454,389.10086893312,2,5.6,0.357142857142857,2,0,0,0,0.406136238481849,0.32611272183028,0.319957792758942,1.18386739492416,1.57360778492875,0.752326854418659,0.265656411722722
3531,C18H27O7Cl,HCOCl,18,27,7,0,1,390.1445309,389.13725443312,2,5.7,0.350877192982456,2,0,0,0,0.41579481260851,0.327199983515236,0.319957792758942,1.19468310475349,1.58842968777753,0.752115824796152,-0.0491509719703421
3533,C19H31O6Cl,HCOCl,19,31,6,0,1,390.1809164,389.17363993312,2,5.8,0.344827586206897,2,0,0,0,0.395342787727714,0.245856642330837,0.205498799681664,1.31995779275894,1.62994138151407,0.809819179836281,0.28362649782107
3575,C17H25O8Cl,HCOCl,17,25,8,0,1,392.1237954,391.11651893312,2,5.6,0.357142857142857,2,0,0,0,0.953949019312859,0.541065775197068,0.391294032335281,1.00526008894667,1.57300537312403,0.639069710836521,-0.0492842526531003
3622,C19H19O7Cl,HCOCl,19,19,7,0,1,394.0819306,393.07465413312,2,5.7,0.350877192982456,2,0,0,0,1.73127699457109,1.01716820690085,0.794501185417175,1.20549879968166,1.60245957178995,0.752280320142566,0.388921096211241
3684,C21H29O5Cl,HCOCl,21,29,5,0,1,396.1703517,395.16307523312,2,5.8,0.344827586206897,2,0,0,0,1.76180825848132,1.02533672123543,0.77286970615387,1.22713029384613,1.63286021351814,0.751521951289492,0.901282867604456
3728,C18H19O8Cl,HCOCl,18,19,8,0,1,398.0768452,397.06956873312,3,6.7,0.447761194029851,3,0,0,0,0.387318900669925,0.252672828159348,0.227253615856171,1.51464089751244,1.62325244827662,0.933090166671554,0.440737183465758
3735,C19H23O7Cl,HCOCl,19,23,7,0,1,398.1132308,397.10595433312,4,5.7,0.701754385964912,4,0,0,0,0.339994145557284,0.307159401305523,0.305981397628784,1.59120754152536,1.64149025792722,0.969367642507153,0.242781599837623
3740,C20H27O6Cl,HCOCl,20,27,6,0,1,398.1496163,397.14233983312,4,5.7,0.701754385964912,4,0,0,0,0.285917493514717,0.259356549798679,0.258872270584106,1.6054839193821,1.65665193938185,0.969113596656373,0.531086036959664
3745,C21H31O5Cl,HCOCl,21,31,5,0,1,398.1860018,397.17872533312,2,5.8,0.344827586206897,2,0,0,0,1.13504640478641,0.804542882011794,0.734556496143341,1.22713029384613,1.63309024041519,0.75141609659865,0.638059029518637
3783,C18H21O8Cl,HCOCl,18,21,8,0,1,400.0924953,399.08521883312,3,6.7,0.447761194029851,3,0,0,0,0.114661044324748,0.0740006809495262,0.062290370464325,1.51464089751244,1.62348247517366,0.932957959617284,0.218692911905658
3790,C19H25O7Cl,HCOCl,19,25,7,0,1,400.1288808,399.12160433312,4,5.7,0.701754385964912,4,0,0,0,0.111721215769649,0.0709080444508822,0.0552598088979721,1.59120754152536,1.64172028505709,0.969231821040714,0.207415217889055
3795,C20H29O6Cl,HCOCl,20,29,6,0,1,400.1652663,399.15798983312,4,5.8,0.689655172413793,4,0,0,0,0.062531559728086,0.0423723839854538,0.0402225404977798,1.6054839193821,1.65794914739672,0.968355345459778,0.374014046696877
3838,C18H23O8Cl,HCOCl,18,23,8,0,1,402.1081454,401.10086893312,4,6.7,0.597014925373134,4,0,0,0,0.030915914918296,0.0170455982135053,0.0140557289123535,1.57693126797676,1.62794550403487,0.968663425199634,0.145986109900392
3844,C19H27O7Cl,HCOCl,19,27,7,0,1,402.1445309,401.13725443312,4,5.7,0.701754385964912,4,0,0,0,0.0593839455395937,0.0435292564648271,0.0423516035079956,1.59120754152536,1.64195031102281,0.969096038316873,0.0225907954620441
3848,C20H31O6Cl,HCOCl,20,31,6,0,1,402.1809164,401.17363993312,3,5.8,0.517241379310345,3,0,0,0,0.0859660049900413,0.0699540128609819,0.0692115277051926,1.5362723916769,1.65300248726271,0.929382988540382,0.19335489601731
3891,C17H21O9Cl,HCOCl,17,21,9,0,1,404.0874099,403.08013343312,2,6.7,0.298507462686567,2,0,0,0,0.270342476316728,0.19424304441176,0.183867394924164,1.31995779275894,1.60406486096326,0.822883054720299,0.316141934249781
3897,C18H25O8Cl,HCOCl,18,25,8,0,1,404.1237954,403.11651893312,3,6.7,0.447761194029851,3,0,0,0,0.106057814205997,0.0680734663068508,0.062290370464325,1.51464089751244,1.62394252826925,0.932693658270464,0.175972597890449
3902,C19H29O7Cl,HCOCl,19,29,7,0,1,404.1601809,403.15290443312,3,5.8,0.517241379310345,3,0,0,0,0.11006741784513,0.0713801200592633,0.0657509490847588,1.52545659244061,1.63799824309535,0.931293179874188,0.25162762314737
