8875	8	3	0.001																																																															
id	mf	name	m_mj0	p_mj0	m_mj1	p_mj1	m_mj2	p_mj2	m_mj3	p_mj3	m_mj4	p_mj4	m_mj5	p_mj5	m_mj6	p_mj6	m_mj7	p_mj7	m_mn0_0	p_mn0_0	m_mn0_1	p_mn0_1	m_mn0_2	p_mn0_2	m_mn1_0	p_mn1_0	m_mn1_1	p_mn1_1	m_mn1_2	p_mn1_2	m_mn2_0	p_mn2_0	m_mn2_1	p_mn2_1	m_mn2_2	p_mn2_2	m_mn3_0	p_mn3_0	m_mn3_1	p_mn3_1	m_mn3_2	p_mn3_2	m_mn4_0	p_mn4_0	m_mn4_1	p_mn4_1	m_mn4_2	p_mn4_2	m_mn5_0	p_mn5_0	m_mn5_1	p_mn5_1	m_mn5_2	p_mn5_2	m_mn6_0	p_mn6_0	m_mn6_1	p_mn6_1	m_mn6_2	p_mn6_2	m_mn7_0	p_mn7_0	m_mn7_1	p_mn7_1	m_mn7_2	p_mn7_2
42	C5H7OCl		118.0185425	1	119.0218974	0.05407864	120.0155924	0.3199578	121.0189473	0.01730288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.0227889	0.002054994	120.0252522	0.0011698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	C3HO3Cl		119.9614216	1	120.9647764	0.03244719	121.9584715	0.3199578	122.9618263	0.01038173	123.9627179	0.001972534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120.9656387	0.001142777	0	0	0	0	121.965668	0.006164981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
44	C4H5O2Cl		119.9978071	1	121.0011619	0.04326291	121.994857	0.3199578	122.9982118	0.01384231	123.9991034	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.0020535	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
45	C5H9OCl		120.0341926	1	121.0375474	0.05407864	122.0312425	0.3199578	123.0345973	0.01730288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121.0404693	0.001035119	0	0	122.038439	0.002054994	122.0409023	0.0011698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
46	C3H3O3Cl		121.9770716	1	122.9804265	0.03244719	123.9741215	0.3199578	124.9774764	0.01038173	125.9783679	0.001972534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122.9812887	0.001142777	0	0	0	0	123.981318	0.006164981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
47	C4H7O2Cl		122.0134571	1	123.016812	0.04326291	124.0105071	0.3199578	125.0138619	0.01384231	126.0147534	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.0177035	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
48	C5H11OCl		122.0498427	1	123.0531975	0.05407864	124.0468926	0.3199578	125.0502474	0.01730288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	123.0561194	0.001265145	0	0	124.054089	0.002054994	124.0565523	0.0011698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
49	C3H2OCl2		123.94827	1	124.9516249	0.03244719	125.94532	0.6399155	126.9486748	0.02076346	127.9423699	0.102373	128.9457247	0.003321715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.9525164	0.002054994	0	0	0	0	0	0	0	0	0	0	127.9495663	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	C3H5O3Cl		123.9927217	1	124.9960765	0.03244719	125.9897716	0.3199578	126.9931264	0.01038173	127.994018	0.001972534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	124.9969388	0.001142777	0	0	0	0	125.9969681	0.006164981	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
51	C4H9O2Cl		124.0291072	1	125.032462	0.04326291	126.0261571	0.3199578	127.029512	0.01384231	128.0304035	0.001315022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125.035384	0.001035119	0	0	0	0	126.0333536	0.004109987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
