ind,mz,intensity,sn,rel_int,mf_ind,mf,m0,search_m,p,major_ind,minor_ind,err_ppm
1305,354.119491309392,6559961.5,36.15,0.000986084509588338,2588,C18H21O5Cl,354.1119978,354.11927426688,0.01027497,2,1,0.612907931851919
1333,356.122132944159,2010596.6,9.5,0.000302230152157292,2589,C16H26O4Cl2,356.1149145,356.12219096688,0.102373,4,-1,-0.162929247745389
1306,354.127626352112,13554910,77.1,0.00203755567465816,2590,C22H21O2Cl,354.1200575,354.12733396688,0.3199578,2,-1,0.825649997002614
1290,353.139465374362,3258598.5,16.82,0.000489828103993872,2591,C15H25O7Cl,353.1322357,353.13951216688,0.1622359,1,-1,-0.132504340173128
1309,354.163955542891,6722800.5,37.1,0.00101056224706543,2594,C23H25OCl,354.156443,354.16371946688,0.3199578,2,-1,0.666573106216954
1339,356.982666813475,2204583.8,9.87,0.000331390044784469,2610,C14H14O2Cl4,356.9751952,356.98247166688,0.1514202,3,-1,0.546655958820451
1361,358.098184222576,2150646,9.58,0.000323282187892127,2628,C17H19O6Cl,358.0907756,358.09805206688,0.005090297,4,-1,0.369048910136693
1331,356.106808062391,6387932.5,35.13,0.000960225343783787,2629,C21H19O3Cl,356.0993221,356.10659856688,0.3199578,2,-1,0.588294380756866
1332,356.11390600763,3066592.3,15.69,0.000460965992598108,2629,C21H19O3Cl,356.1065185,356.11379496688,0.006164981,2,1,0.311812548996544
1364,358.116375477882,2576127.8,11.89,0.000387240034609941,2630,C19H24O2Cl2,358.1094352,358.11671166688,0.102373,4,-1,-0.938769364359995
1307,354.130544367436,1706207.3,7.73,0.000256474765694363,2631,C18H23O5Cl,354.1234015,354.13067796688,1,0,-1,-0.377260295489101
1334,356.135052844482,2691307.5,13.49,0.000404553690793599,2631,C18H23O5Cl,356.1276479,356.13492436688,0.01027497,2,1,0.360755414266734
1367,358.137759778002,3324171.3,15.95,0.000499684918295348,2632,C16H28O4Cl2,358.1305646,358.13784106688,0.102373,4,-1,-0.226976512670426
1335,356.143153781983,6354159.5,34.94,0.000955148632260049,2633,C22H23O2Cl,356.1357076,356.14298406688,0.3199578,2,-1,0.476536422217248
1337,356.179576500982,2445570.8,12.05,0.000367614883560149,2636,C23H27OCl,356.1720931,356.17936956688,0.3199578,2,-1,0.580982841165778
1359,357.989735700549,3164860.5,15.09,0.000475737535053826,2654,C15H10O6Cl2,357.9824933,357.98976976688,0.6399155,2,-1,-0.0951600692880652
1362,358.101393267613,2849015.8,13.37,0.000428260188410012,2675,C24H17OCl,358.0938428,358.10111926688,0.3199578,2,-1,0.765149056068503
1365,358.122504563901,2934019,13.83,0.000441037754068811,2677,C21H21O3Cl,358.1149721,358.12224856688,0.3199578,2,-1,0.714831380489169
1366,358.129686664699,3984647,19.54,0.000598966729130597,2677,C21H21O3Cl,358.1221686,358.12944506688,0.006164981,2,1,0.674610318692507
