mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
5716,C24H23O8Cl,HCOCl,24,23,8,0,1,474.1081454,474.11542186688,2.2,6.7,0.328358208955224,2,2,0,0,1.89036115829367,1.09460956046277,0.740422487258911,1.26262491778471,1.67997755284887,0.751572493122646,-0.157010033759111
5775,C25H29O7Cl,HCOCl,25,29,7,0,1,476.1601809,476.16745736688,2.1,6.8,0.308823529411765,2,1,0,0,1.57478862919379,0.828312084968974,0.624058842658997,1.08651441335678,1.69720529450569,0.640178543440866,-0.726981006857399
5963,C25H21O8Cl,HCOCl,25,21,8,0,1,484.0924953,484.09977176688,3.2,6.7,0.477611940298508,3,2,0,0,2.09701232553925,1.16086689592674,0.726861715316772,1.60983834066428,1.74651291279588,0.921744310545747,0.11519578984132
5970,C26H25O7Cl,HCOCl,26,25,7,0,1,484.1288808,484.13615726688,3.1,6.8,0.455882352941177,3,1,0,0,1.91827421728522,1.13284778787921,0.85787969827652,1.61555165518075,1.76254552905448,0.916601374857771,0.0322021578159373
6012,C25H23O8Cl,HCOCl,25,23,8,0,1,486.1081454,486.11542186688,3.3,6.7,0.492537313432836,3,3,0,0,1.58244864584412,1.04954793532751,0.749395489692688,1.60983834066428,1.7467429387616,0.921622927415766,0.266735400803497
6017,C26H27O7Cl,HCOCl,26,27,7,0,1,486.1445309,486.15180736688,3.2,6.8,0.470588235294118,3,2,0,0,1.60469754878432,0.984356635567518,0.718791127204895,1.61555165518075,1.7627755550202,0.916481766824955,-0.314467382135936
6294,C27H27O7Cl,HCOCl,27,27,7,0,1,498.1445309,498.15180736688,3.3,6.8,0.485294117647059,3,3,0,0,1.55990927282255,1.03181146526446,0.921114861965179,1.62636745441705,1.78111635020468,0.913116907960645,-0.168670227524455
6340,C26H25O8Cl,HCOCl,26,25,8,0,1,500.1237954,500.13107186688,3.4,6.8,0.5,3,4,0,0,1.71619131951593,1.025477952226,0.718791127204895,1.62065405049361,1.76516634342261,0.918131062566722,-0.00754038695380523
6381,C25H23O9Cl,HCOCl,25,23,9,0,1,502.10306,502.11033646688,2.3,6.8,0.338235294117647,2,3,0,0,1.66616800497286,0.967152529712135,0.778447806835175,1.27382152387872,1.69576771254651,0.751176894367119,0.127053140579602
6388,C26H27O8Cl,HCOCl,26,27,8,0,1,502.1394455,502.14672196688,3.2,6.8,0.470588235294118,3,2,0,0,1.60840879171155,0.951881442501427,0.718791127204895,1.62065405049361,1.76539636938833,0.918011432783866,-0.322600280436828
6574,C23H32O4Cl4,HCOCl,23,32,4,0,4,512.1054702,512.11274666688,2.2,9.3,0.236559139784946,2,2,0,0,2.26569720357656,1.08253614339736,0.876751840114594,1.78135311603546,2.98119917791337,0.597529051139174,-0.152246872261123
6576,C27H25O8Cl,HCOCl,27,25,8,0,1,512.1237954,512.13107186688,3.3,6.8,0.485294117647059,3,3,0,0,1.25753907579929,0.947474528662004,0.924321532249451,1.62842244468629,1.78351425053552,0.913041454082771,-0.363238414690266
6626,C27H27O8Cl,HCOCl,27,27,8,0,1,514.1394455,514.14672196688,3.3,6.8,0.485294117647059,3,3,0,0,1.77345154900104,1.02520576877109,0.707975268363953,1.62842244468629,1.78374427650124,0.912923711172543,-0.299275539015936
7602,C43H23OCl,HCOCl,43,23,1,0,1,590.143743,590.15101946688,2,6.6,0.303030303030303,2,0,0,0,2.61630364600569,1.33427269708407,0.966201901435852,1.03379806876183,1.9743215998169,0.523621920996913,0.654650313420405
8009,C27H36O14Cl2,HCOCl,27,36,14,0,2,654.1482112,654.15548766688,2,8.4,0.238095238095238,2,0,0,0,2.54210091894493,1.25617341598247,0.897626996040344,1.10237299650908,2.30114969436545,0.479053144264506,-0.95078241792202
8110,C32H42O7Cl4,HCOCl,32,42,7,0,4,678.1684644,678.17574086688,2.1,9.3,0.225806451612903,2,1,0,0,2.03199878707528,1.11454705166967,1,1.26128971576691,3.25414126832038,0.387595255327658,-0.496711505670716
8115,C39H47O8Cl,HCOCl,39,47,8,0,1,678.2959461,678.30322256688,2.2,7.2,0.305555555555556,2,2,0,0,1.39410405862145,0.724913170573324,0.446777880191803,1.31995779275894,2.01357023068704,0.655531042643875,0.779611978507728
8125,C38H45O9Cl,HCOCl,38,45,9,0,1,680.2752107,680.28248716688,3.2,7.2,0.444444444444445,3,2,0,0,1.51255968376063,0.9438927242985,0.831486344337463,1.46213312074542,2.01497456629295,0.725633536623433,0.199512823449968
8201,C34H42O7Cl4,HCOCl,34,42,7,0,4,702.1684644,702.17574086688,2.1,9.3,0.225806451612903,2,1,0,0,2.57550971955061,1.21126715238984,1,1.26128971576691,3.31287440378219,0.380723674379849,-0.989095502004141
8309,C43H49O9Cl,HCOCl,43,49,9,0,1,744.3065108,744.31378726688,3.1,7.2,0.430555555555556,3,1,0,0,2.51503004133701,1.39248942028157,0.995004117488861,1.32495365384966,2.10213380143978,0.630289876382838,0.154811708860337
8320,C43H53O9Cl,HCOCl,43,53,9,0,1,748.337811,748.34508746688,2.1,7.2,0.291666666666667,2,1,0,0,1.6802574545145,0.921836266170089,0.712620496749878,1.00499586109072,1.97538495482877,0.508759499577051,0.552598722988551
8457,C39H50O9Cl4,HCOCl,39,50,9,0,4,802.2208939,802.22817036688,2.2,9.4,0.234042553191489,2,2,0,0,2.61460281908512,1.22151114990164,1,1.26128971576691,3.46586440317333,0.363917790497538,-0.469885487498658
