mOz	abs_abu	sn	resolution	rel_abu
265.121308	24397114	82.31	712691.688172043	0.0325139646405803
265.144628	33629496	114.21	720501.706521739	0.0448179339500786
265.147577	6184247	19.38	1464903.74033149	0.00824172843913485
265.148001	73983288	253.63	710852.549597855	0.0985973181100793
265.157676	3174966.3	8.98	686936.984455958	0.00423126858419541
266.075226	4193014.5	12.5	730975.895604396	0.00558801853327572
266.08017	4786422	14.55	661890.970149254	0.00637885102569491
266.111606	7532788	24.04	764688.522988506	0.0100389252055382
266.124664	3523315.3	10.19	747541.191011236	0.00469551230862042
266.147981	5304049.5	16.34	702237.416886544	0.00706869172701688
266.151354	9683185	31.47	735224.73480663	0.0129047531891763
