Index,Mass,IdealMass
899,325.09622300,325.09628510
900,325.10408100,325.10413479
901,325.12925400,325.12928119
902,325.13261600,325.13263908
903,325.16568400,325.16566669
904,325.18430900,325.18429169
905,326.05179600,326.05180479
906,326.05989400,326.05990286
907,326.06328600,326.06329489
908,326.08813400,326.08814310
909,326.09625300,326.09626217
910,326.09956700,326.09957620
911,326.12458000,326.12458942
912,326.13262100,326.13263049
913,327.03575100,327.03577473
914,327.03909600,327.03912070
915,327.07094000,327.07097390
916,327.07212600,327.07216024
917,327.08338100,327.08341880
918,327.10731700,327.10736237
919,327.10850000,327.10854575
920,327.11979500,327.11983470
921,327.14490500,327.14493125
922,327.18135700,327.18131676
923,328.01322600,328.01324110
924,328.03916300,328.03917802
925,328.04964800,328.04966299
926,328.06736400,328.06737893
927,328.07550100,328.07551591
928,328.10375300,328.10376782
929,328.11184700,328.11186179
930,328.11491100,328.11492578
931,328.14014600,328.14016070
932,328.14827500,328.14828968
933,328.99730900,328.99730480
934,329.03038400,329.03037980
935,329.03365900,329.03365480
936,329.05142900,329.05142480
937,329.05480600,329.05481068
938,329.06998100,329.07002562
939,329.08771900,329.08781030
940,329.09901400,329.09909213
941,329.10622100,329.10629072
942,329.10725300,329.10732152
943,329.11278700,329.11284906
944,329.11512000,329.11517934
945,329.12414700,329.12419581
946,329.13547200,329.13550294
947,329.16059000,329.16058132
948,329.19703600,329.19696682
949,330.02892000,330.02892244
950,330.04669600,330.04669826
951,330.05480300,330.05480518
952,330.06531100,330.06531307
953,330.08305700,330.08305889
954,330.09120000,330.09120181
955,330.11944100,330.11944253
956,330.12753000,330.12753144
957,330.15600300,330.15600415
958,330.16392900,330.16393007
959,331.01290800,331.01297686
960,331.04930600,331.04937486
961,331.06580400,331.06587286
962,331.06700600,331.06707486
963,331.07398600,331.07404481
964,331.07826200,331.07831465
965,331.08563700,331.08567902
966,331.09203900,331.09207180
967,331.09541400,331.09544194
968,331.10344400,331.10346037
969,331.11468400,331.11469126
970,331.12203800,331.12203931
971,331.13985900,331.13984587
972,331.17633800,331.17623138
973,332.04462400,332.04460274
974,332.06228900,332.06226750
975,332.07037700,332.07035539
976,332.08083100,332.08080925
977,332.08897400,332.08895214
978,332.09870400,332.09868200
979,332.10682100,332.10679889
980,332.13507400,332.13505151
981,332.14318400,332.14316139
982,333.02860200,333.02862242
983,333.04631900,333.04633942
984,333.06176200,333.06159555
985,333.06498800,333.06484468
986,333.07131500,333.07121703
987,333.07459000,333.07451550
988,333.08274100,333.08272493
989,333.09809000,333.09798106
990,333.10132800,333.10123003
991,333.10262800,333.10253444
992,333.10765700,333.10758048
993,333.11111700,333.11105221
994,333.11914800,333.11911043
