mf_ind,mf,ec,C,H,O,NSP,other,search_m0,search_m,pa_mm_abs,pa_mm_max,pa_mm_rel,major_count,minor_count,major_multi_count,minor_multi_count,p_d1,p_d2,p_dinf,p_dtma,pa_sum_abs,pa_sum_max,pa_sum_rel,tma_m_err_ppm
50388,C23H26N4OFSCl,HCNOFSCl,23,26,1,5,2,460.14998837258,459.1427119057,4,7.4,0.540540540540541,4,0,0,0,0.0556314778514206,0.0342277762217832,0.0304502248764038,0,1.64831276237965,1.79228863189928,0.919669261436387,0.0590346709481398
50389,C21H29O9Cl,HCOCl,21,29,9,0,1,460.15001018607,459.14273371919,4,6.9,0.579710144927536,4,0,0,0,0.0609021943528205,0.0363457934528614,0.0304502248764038,0,1.6197601556778,1.68683630402666,0.960235531931141,0.0115254986027426
50748,C23H28N4OFSCl,HCNOFSCl,23,28,1,5,2,462.16563843672,461.15836196984,4,7.4,0.540540540540541,4,0,0,0,0.0359250945039093,0.0191640184451364,0.0143154067918658,0,1.64831276237965,1.79251865833066,0.919551244121881,0.0804325396994375
50749,C21H31O9Cl,HCOCl,21,31,9,0,1,462.16566025021,461.15838378333,4,6.9,0.579710144927536,4,0,0,0,0.0335312646348029,0.0197998862191581,0.0174156129360199,0,1.6197601556778,1.68713992927223,0.960062723651201,0.0331310212665508
51127,C21H33O9Cl,HCOCl,21,33,9,0,1,464.18131031435,463.17403384747,4,6.9,0.579710144927536,4,0,0,0,0.0214807849843055,0.0120580522560523,0.00822383165359497,0,1.6197601556778,1.68744355463423,0.959889977492548,0.0070336383626801
51476,C22H28N4O2FSCl,HCNOFSCl,22,28,2,5,2,466.16055305628,465.1532765894,4,7.5,0.533333333333333,4,0,0,0,0.0436956170015037,0.0249987298487818,0.0196888148784637,0,1.63403645902872,1.77663472644053,0.919736868085705,0.0614182137142559
51477,C20H31O10Cl,HCOCl,20,31,10,0,1,466.16057486977,465.15329840289,4,6.9,0.579710144927536,4,0,0,0,0.0159818207612261,0.00846915846806359,0.00711144367232919,0,1.60548385977745,1.67241558164824,0.959979013227787,0.0145229397236478
51800,C21H26N4O3FSCl,HCNOFSCl,21,26,3,5,2,468.1398176117,467.13254114482,4,7.6,0.526315789473684,4,0,0,0,0.0432042500469834,0.0235458965202653,0.0172861516475677,0,1.6197601556778,1.7618070950266,0.919374294864752,0.0258148008518566
51801,C19H29O11Cl,HCOCl,19,29,11,0,1,468.13983942519,467.13256295831,4,6.9,0.579710144927536,4,0,0,0,0.0232176438439637,0.0112236415502481,0.00723262270912528,0,1.59120755642653,1.6583396976348,0.9595184621679,-0.0208817738023721
53448,C23H28N4O2FSCl,HCNOFSCl,23,28,2,5,2,478.16055305628,477.1532765894,4,7.5,0.533333333333333,4,0,0,0,0.0525020998902619,0.0267767341446284,0.0177763924002647,0,1.64831276237965,1.79457365185954,0.918498252034217,0.0495913970059515
53449,C21H31O10Cl,HCOCl,21,31,10,0,1,478.16057486977,477.15329840289,4,6.9,0.579710144927536,4,0,0,0,0.0327369744190946,0.0164851653666937,0.0108552351593971,0,1.6197601556778,1.69031382014509,0.958260020342707,0.00387549984822932
54137,C23H32N4O2FSCl,HCNOFSCl,23,32,2,5,2,482.19185318456,481.18457671768,4,7.5,0.533333333333333,4,0,0,0,0.0507424143142998,0.0256977595873457,0.0172289162874222,0,1.64831276237965,1.7950337047223,0.918262848236963,0.0508842453507324
56216,C23H30N4O3FSCl,HCNOFSCl,23,30,3,5,2,496.17111773998,495.1638412731,4,7.6,0.526315789473684,4,0,0,0,0.0388420117087662,0.0207264652681183,0.0143154067918658,0,1.64831276237965,1.79800144920591,0.916747182327146,0.0516042217842839
56916,C23H20N4O4FSCl,HCNOFSCl,23,20,4,5,2,502.08778203884,501.08050557196,4,7.6,0.526315789473684,4,0,0,0,0.0737908822484314,0.0433182449198319,0.038372665643692,0,1.64831276237965,1.79928723582998,0.916092066656222,0.0698503523287803
56917,C21H23O12Cl,HCOCl,21,23,12,0,1,502.08780385233,501.08052738545,4,6.9,0.579710144927536,4,0,0,0,0.037043965770863,0.0200695986267338,0.0167412161827087,0,1.6197601556778,1.69566907163244,0.955233649522448,0.0263174462029088
57651,C24H32N4O3FSCl,HCNOFSCl,24,32,3,5,2,510.18676780412,509.17949133724,4,7.6,0.526315789473684,4,0,0,0,0.0512905919458717,0.0265000905787846,0.0196675360202789,0,1.66258907318115,1.81631522334646,0.915363727513069,0.00520564451801954
59181,C27H30N4O2FSCl,HCNOFSCl,27,30,2,5,2,528.17620312042,527.16892665354,4,7.6,0.526315789473684,4,0,0,0,0.0284315655007958,0.0162896865389299,0.0143154067918658,0,1.70541799068451,1.86802019714378,0.912954792079931,0.0295508258729082
59182,C25H33O10Cl,HCOCl,25,33,10,0,1,528.17622493391,527.16894846703,4,7.1,0.563380281690141,4,0,0,0,0.0493582092458382,0.0268069539396322,0.0205631852149963,0,1.67686536163092,1.76607646094635,0.949486275771078,-0.0118277315851673
59348,C26H39O9Cl,HCOCl,26,39,9,0,1,530.22826050677,529.22098403989,4,7.1,0.563380281690141,4,0,0,0,0.0671349508920684,0.0365066585017002,0.0299681425094604,0,1.691141679883,1.78168134659063,0.949183019241414,-0.00772311799826457
60721,C26H41O10Cl,HCOCl,26,41,10,0,1,548.23882519047,547.23154872359,4,7.2,0.555555555555556,4,0,0,0,0.024500833125785,0.0149347043491801,0.0121643114835024,0,1.691141679883,1.78644143370911,0.94665386055884,-0.00818979291917776
